Keyword,Search Volume,Difficulty,Time to Rank,Priority,Phase,Device,Location,Category,Landing Page Required,Notes
cash for 4wd sydney,20,9,1-2 months,critical,1,mobile,Sydney NSW,Already Tracking,No,Already ranking position 2 - maintain
cash for utes sydney,20,6,1-2 months,critical,1,mobile,Sydney NSW,Already Tracking,No,Already ranking position 4 - maintain
instant auto quote,90,54,6-9 months,critical,1,both,Sydney NSW,Brand Protection,No,Already tracking - in AI overview
instant car sales,170,6,URGENT FIX,critical,1,both,Sydney NSW,Brand Protection,Yes,DROPPED 24 positions - fix now
sydney car buyers,50,36,URGENT FIX,critical,1,both,Sydney NSW,Brand Protection,Yes,De-indexed - restore immediately
instant offer,720,11,3-4 months,critical,1,both,Sydney NSW,Brand Protection,No,Already tracking position 42
instant auto traders reviews,110,15,2-3 months,critical,1,both,Sydney NSW,Brand Protection,Yes,Reputation management page needed
instant auto traders sydney,170,10,1-2 months,critical,1,mobile,Sydney NSW,Brand Protection,Yes,Local brand term
instant cash for cars sydney,720,25,4-6 months,critical,1,mobile,Sydney NSW,Brand Protection,Yes,High volume brand term
instant car buyers sydney,480,20,3-4 months,critical,1,mobile,Sydney NSW,Brand Protection,Yes,Category + brand
instant car valuation sydney,210,18,2-3 months,critical,1,mobile,Sydney NSW,Brand Protection,Yes,Service page needed
instant car removal sydney,390,22,3-4 months,critical,1,mobile,Sydney NSW,Brand Protection,Yes,Service + brand

sell damaged car sydney,590,35,3-6 months,critical,2,mobile,Sydney NSW,Condition,Yes,High conversion - priority page
cash for broken cars,480,32,3-6 months,critical,2,both,Sydney NSW,Condition,Yes,High conversion term
cash for cars any condition,720,40,6-9 months,critical,2,both,Sydney NSW,Condition,Yes,USP keyword - critical page
sell old car sydney,880,38,6-9 months,critical,2,mobile,Sydney NSW,Condition,Yes,High volume condition term
cash for scrap cars sydney,390,30,3-6 months,high,2,mobile,Sydney NSW,Condition,Yes,End of life vehicles
cash for accident cars,390,33,4-6 months,high,2,both,Sydney NSW,Condition,Yes,Insurance writeoffs
sell non running car sydney,320,28,3-6 months,high,2,mobile,Sydney NSW,Condition,Yes,Specific condition page
cash for cars not running,480,35,4-6 months,high,2,both,Sydney NSW,Condition,No,Combine with non-running page
cash for written off cars,390,34,4-6 months,high,2,both,Sydney NSW,Condition,Yes,Insurance claims focus
sell unregistered car sydney,260,26,3-5 months,high,2,mobile,Sydney NSW,Condition,Yes,Common issue - good content opportunity
cash for cars no rego,320,28,3-5 months,high,2,both,Sydney NSW,Condition,No,Combine with unregistered page
sell car with mechanical problems,320,30,4-6 months,high,2,both,Sydney NSW,Condition,Yes,Repair avoidance angle
sell junk car sydney,260,27,3-5 months,medium,3,mobile,Sydney NSW,Condition,No,Combine with scrap page

sell toyota hilux sydney,590,45,6-9 months,critical,2,mobile,Sydney NSW,Model,Yes,Top selling ute - must have page
cash for ford ranger,480,42,6-9 months,critical,2,mobile,Sydney NSW,Model,Yes,Top selling ute #2
cash for toyota camry,390,40,6-9 months,high,2,mobile,Sydney NSW,Model,Yes,Top selling sedan
sell mazda cx5 sydney,320,38,6-9 months,high,3,mobile,Sydney NSW,Model,Yes,Top selling SUV
sell nissan navara sydney,260,36,6-9 months,high,3,mobile,Sydney NSW,Model,No,Combine with utes page
cash for mitsubishi triton,210,35,6-9 months,medium,3,mobile,Sydney NSW,Model,No,Combine with utes page
sell mazda 3 sydney,210,34,6-9 months,medium,3,mobile,Sydney NSW,Model,No,Create general hatch page
cash for holden commodore,320,32,4-6 months,high,3,mobile,Sydney NSW,Model,Yes,Iconic Australian - nostalgia value
sell BMW sydney,210,44,9-12 months,medium,4,mobile,Sydney NSW,Premium,Yes,High value segment
cash for toyota rav4,280,38,6-9 months,high,3,mobile,Sydney NSW,Model,No,Combine with SUV page

car buyers parramatta,260,39,6-9 months,critical,2,mobile,Parramatta NSW,Geographic,Yes,Major suburb - must have
cash for cars liverpool,210,36,6-9 months,high,3,mobile,Liverpool NSW,Geographic,Yes,Major suburb
sell car penrith,170,34,6-9 months,high,3,mobile,Penrith NSW,Geographic,Yes,Major suburb
car buyers blacktown,140,33,6-9 months,high,3,mobile,Blacktown NSW,Geographic,No,Combine with Western Sydney page
