Keyword,Search Volume,Tags,Priority,Device,Location,Category,Notes
car buyers near me,3600,competitor,critical,both,Sydney NSW,Competitor,Highest volume - local intent
car removal sydney,1900,process brand,critical,both,Sydney NSW,Service,Massive volume + service keyword
carsales instant offer,1300,competitor,critical,both,Sydney NSW,Competitor,Major competitor monitoring
buy my car,1900,process,critical,both,Sydney NSW,Process,High intent
buy used cars sydney,1600,location,critical,both,Sydney NSW,Geographic,Major volume
cash for cars sydney,1300,core-service location,critical,both,Sydney NSW,Core Service,Primary keyword
car buyers,1000,core-service,critical,both,Sydney NSW,Core Service,Generic high volume
sell car sydney,880,location,critical,both,Sydney NSW,Geographic,Core local keyword
free car removal sydney,880,process,critical,both,Sydney NSW,Service,Free service USP
sell old car sydney,880,condition location,critical,both,Sydney NSW,Condition,High volume + condition
what is my car worth sydney,880,process question,critical,both,Sydney NSW,Process,Valuation intent
cash converters cars,720,competitor,critical,both,Sydney NSW,Competitor,Retail competitor
instant offer,720,core-service brand,critical,both,Sydney NSW,Brand Protection,Your core term
buyers of cars,720,core-service,critical,both,Sydney NSW,Core Service,Alternative phrasing
sell car for cash,720,process,critical,both,Sydney NSW,Process,Payment method
instant cash for cars sydney,720,brand location,critical,both,Sydney NSW,Brand Protection,Brand + location
car valuation sydney,720,process,critical,both,Sydney NSW,Process,Service keyword
cash for cars any condition,720,condition,critical,both,Sydney NSW,Condition,USP keyword

sell toyota hilux sydney,590,model location,critical,both,Sydney NSW,Specific Model,Top selling ute #1
sell damaged car sydney,590,condition location,critical,both,Sydney NSW,Condition,High conversion
pickles car buyers,590,competitor,critical,both,Sydney NSW,Competitor,Auction competitor
sell my car instant quote,590,process brand,critical,both,Sydney NSW,Process,Quote intent
how much is my car worth instant quote,590,process question,critical,both,Sydney NSW,Process,Valuation + quote
instant car offer,480,brand,critical,both,Sydney NSW,Brand Protection,Your service term
car buyers online,480,process,critical,both,Sydney NSW,Process,Online channel
cash for broken cars,480,condition,critical,both,Sydney NSW,Condition,High conversion
car buyers newcastle,480,location-regional,critical,both,Newcastle NSW,Regional,Major regional city
sell car online sydney,480,process location,critical,both,Sydney NSW,Process,Online + local
redbook instant quote,480,competitor,critical,both,Sydney NSW,Competitor,Valuation competitor
cash for cars not running,480,condition,critical,both,Sydney NSW,Condition,Non-running vehicles
used car buyers,480,condition,critical,both,Sydney NSW,Condition,Used cars
sell car sydney,480,location,critical,both,Sydney NSW,Geographic,Basic local
cash for ford ranger,480,model,critical,both,Sydney NSW,Specific Model,Top selling ute #2

cash for toyota camry,390,model,critical,both,Sydney NSW,Specific Model,Top selling sedan
cash for accident cars,390,condition,critical,both,Sydney NSW,Condition,Accident/writeoff
cash for scrap cars sydney,390,condition location,critical,both,Sydney NSW,Condition,End of life
grays car buyers,390,competitor,critical,both,Sydney NSW,Competitor,Auction competitor
how to get best price for used car,390,process question,high,both,Sydney NSW,Process,Pricing strategy
cash for cars central coast,390,location-regional,critical,both,Central Coast NSW,Regional,Growth region
instant car removal sydney,390,brand location,critical,both,Sydney NSW,Brand Protection,Service + brand
cash for written off cars,390,condition,critical,both,Sydney NSW,Condition,Insurance writeoffs
cash for cars in sydney,390,location,critical,both,Sydney NSW,Geographic,Location variant
car valuation online sydney,390,process location,critical,both,Sydney NSW,Process,Online tool

sell non running car sydney,320,condition location,critical,both,Sydney NSW,Condition,Specific condition
sell mazda cx5 sydney,320,model location,critical,both,Sydney NSW,Specific Model,Top selling SUV
sell car with mechanical problems,320,condition,high,both,Sydney NSW,Condition,Mechanical issues
car buying service sydney,320,process location,critical,both,Sydney NSW,Process,Service category
sell car wollongong,320,location-regional,critical,both,Wollongong NSW,Regional,Major regional city
cash for holden commodore,320,model,high,both,Sydney NSW,Specific Model,Iconic Australian
sell car today sydney,320,longtail urgent location,critical,both,Sydney NSW,Time-Sensitive,Same day urgency
how to sell car quickly sydney,260,process question location,high,both,Sydney NSW,Process,Speed focused
sell car with loan owing,320,longtail,critical,both,Sydney NSW,Long-Tail,Finance situation
cash for cars no rego,320,condition,critical,both,Sydney NSW,Condition,Registration expired

sell junk car sydney,260,condition location,high,both,Sydney NSW,Condition,Scrap/junk
sell unregistered car sydney,260,condition location,high,both,Sydney NSW,Condition,Rego issue
car buyers parramatta,260,location,critical,both,Parramatta NSW,Geographic,Major suburb #1
car instant offer,260,brand,critical,both,Sydney NSW,Brand Protection,Your service
instant car buyers sydney,480,brand location,critical,both,Sydney NSW,Brand Protection,Category + brand
sell car needing repairs,260,condition,high,both,Sydney NSW,Condition,Repair avoidance
who buys cars for cash sydney,260,process question location,high,both,Sydney NSW,Process,Buyer research
sell financed car sydney,260,longtail location,critical,both,Sydney NSW,Long-Tail,Finance situation
car buyers sydney,260,location,critical,both,Sydney NSW,Geographic,Basic local term
instant car valuation sydney,210,brand location,critical,both,Sydney NSW,Brand Protection,Valuation + brand

sell BMW sydney,210,premium location,high,both,Sydney NSW,Premium Brand,High value
sell nissan navara sydney,260,model location,high,both,Sydney NSW,Specific Model,Popular ute
cash for mitsubishi triton,210,model,high,both,Sydney NSW,Specific Model,Popular ute
sell car before moving overseas,170,longtail,high,both,Sydney NSW,Long-Tail,Specific situation
instant car purchase sydney,140,brand location,high,both,Sydney NSW,Brand Protection,Action + brand
sell luxury car sydney,170,vehicle-type location,high,both,Sydney NSW,Vehicle Type,High value segment
instant auto traders reviews,110,brand,critical,both,Sydney NSW,Brand Protection,Reputation term
instant auto traders sydney,170,brand location,critical,both,Sydney NSW,Brand Protection,Brand + location
cash for cars liverpool,210,location,critical,both,Liverpool NSW,Geographic,Major suburb #2
sell car penrith,170,location,critical,both,Penrith NSW,Geographic,Major suburb #3

sell car bad credit,140,situation,high,both,Sydney NSW,Financial Situation,Credit issues
car buyers blacktown,140,location,high,both,Blacktown NSW,Geographic,Major suburb #4
cash for utes,30,vehicle-type,high,both,Sydney NSW,Vehicle Type,Your winning term
cash for 4wd,110,vehicle-type,high,both,Sydney NSW,Vehicle Type,Popular segment
sell hybrid car sydney,210,category location,high,both,Sydney NSW,Vehicle Category,Growing market
cash for electric cars sydney,170,category location,high,both,Sydney NSW,Vehicle Category,EV market
sell diesel car sydney,260,category location,high,both,Sydney NSW,Vehicle Category,Fuel type
sell mazda 3 sydney,210,model location,high,both,Sydney NSW,Specific Model,Popular hatch
cash for volkswagen golf,140,model,medium,both,Sydney NSW,Specific Model,Popular hatch
sell kia sportage sydney,170,model location,high,both,Sydney NSW,Specific Model,SUV

instant auto quote,90,brand,critical,both,Sydney NSW,Brand Protection,Already tracking
instant car sales,170,brand,critical,both,Sydney NSW,Brand Protection,Already tracking - fix drop
cash for utes sydney,20,location,high,both,Sydney NSW,Geographic,Already tracking
cash for 4wd sydney,20,location,high,both,Sydney NSW,Geographic,Already tracking
sell your ute,0,brand,high,both,Sydney NSW,Brand Protection,Already tracking
easy car buyers,50,competitor,high,both,Sydney NSW,Competitor,Already tracking
quick car sale,40,core-service,high,both,Sydney NSW,Core Service,Alternative phrasing
sydney car buyers,50,location,critical,both,Sydney NSW,Geographic,URGENT - fix de-indexing

car buyers western sydney,260,location-region,critical,both,Western Sydney NSW,Region,Western suburbs
cash for cars northern beaches,170,location-region,high,both,Northern Beaches NSW,Region,Affluent area
sell car eastern suburbs,140,location-region,high,both,Eastern Suburbs NSW,Region,Eastern suburbs
car buyers campbelltown,110,location,high,both,Campbelltown NSW,Geographic,Major suburb
sell van sydney,110,vehicle-type location,high,both,Sydney NSW,Vehicle Type,Trade vehicles
commercial vehicle buyers sydney,140,vehicle-type location,high,both,Sydney NSW,Vehicle Type,B2B opportunity
fast cash for cars,110,core-service,high,both,Sydney NSW,Core Service,Speed + payment
urgent car sale,90,core-service,high,both,Sydney NSW,Core Service,Urgency intent
